اسم السورة,ترتيب السورة,رقم الآية,كم تمثل الآية من سطر
الناس,114,1,2.5
الناس,114,2,0.4
الناس,114,3,0.3
الناس,114,4,0.6
الناس,114,5,0.7
الناس,114,6,1
الفلق,113,1,2.5
الفلق,113,2,0.4
الفلق,113,3,0.6
الفلق,113,4,0.7
الفلق,113,5,1
الاخلاص,112,1,2.4
الاخلاص,112,2,0.3
الاخلاص,112,3,0.6
الاخلاص,112,4,1
المسد,111,1,2.5
المسد,111,2,0.7
المسد,111,3,0.5
المسد,111,4,0.7
المسد,111,5,1
النصر,110,1,2.6
النصر,110,2,1
النصر,110,3,1
الكافرون,109,1,2.5
الكافرون,109,2,0.5
الكافرون,109,3,0.5
الكافرون,109,4,0.5
الكافرون,109,5,0.5
الكافرون,109,6,0.5
الكوثر,108,1,2.5
الكوثر,108,2,0.5
الكوثر,108,3,1
الماعون,107,1,2.7
الماعون,107,2,0.6
الماعون,107,3,0.7
الماعون,107,4,0.4
الماعون,107,5,0.6
الماعون,107,6,0.5
الماعون,107,7,0.5
قريش,106,1,2.3
قريش,106,2,0.7
قريش,106,3,0.7
قريش,106,4,1.3
الفيل,105,1,2.8
الفيل,105,2,0.4
الفيل,105,3,0.6
الفيل,105,4,0.6
الفيل,105,5,0.6
الهمزة,104,1,2.5
الهمزة,104,2,0.5
الهمزة,104,3,0.5
الهمزة,104,4,0.5
الهمزة,104,5,0.5
الهمزة,104,6,0.3
الهمزة,104,7,0.4
الهمزة,104,8,0.4
الهمزة,104,9,0.4
العصر,103,1,2.2
العصر,103,2,0.5
العصر,103,3,1.3
التكاثر,102,1,2.3
التكاثر,102,2,0.3
التكاثر,102,3,0.3
التكاثر,102,4,0.4
التكاثر,102,5,0.3
التكاثر,102,6,0.3
التكاثر,102,7,0.4
التكاثر,102,8,0.7
القارعة,101,1,2.2
القارعة,101,2,0.2
القارعة,101,3,0.3
القارعة,101,4,0.8
القارعة,101,5,0.7
القارعة,101,6,0.4
القارعة,101,7,0.4
القارعة,101,8,0.6
القارعة,101,9,0.4
القارعة,101,10,0.5
القارعة,101,11,0.5
العاديات,100,1,2.4
العاديات,100,2,0.4
العاديات,100,3,0.4
العاديات,100,4,0.4
العاديات,100,5,0.4
العاديات,100,6,0.3
العاديات,100,7,0.5
العاديات,100,8,0.5
العاديات,100,9,0.7
العاديات,100,10,0.4
العاديات,100,11,0.6
الزلزلة,99,1,2.4
الزلزلة,99,2,0.4
الزلزلة,99,3,0.3
الزلزلة,99,4,0.3
الزلزلة,99,5,0.3
الزلزلة,99,6,0.8
الزلزلة,99,7,0.6
الزلزلة,99,8,0.9
البينة,98,1,3.4
البينة,98,2,0.6
البينة,98,3,0.3
البينة,98,4,1.1
البينة,98,5,1.7
البينة,98,6,1.8
البينة,98,7,1.1
البينة,98,8,2.1
القدر,97,1,2.5
القدر,97,2,0.5
القدر,97,3,0.6
القدر,97,4,0.9
القدر,97,5,0.5
العلق,96,1,2.4
العلق,96,2,0.4
العلق,96,3,0.3
العلق,96,4,0.3
العلق,96,5,0.4
العلق,96,6,0.5
العلق,96,7,0.3
العلق,96,8,0.3
العلق,96,9,0.3
العلق,96,10,0.3
العلق,96,11,0.4
العلق,96,12,1.1
العلق,96,13,0.4
العلق,96,14,0.4
العلق,96,15,0.5
العلق,96,16,0.4
العلق,96,17,0.2
العلق,96,18,0.3
العلق,96,19,0.7
التين,95,1,2.3
التين,95,2,0.3
التين,95,3,0.4
التين,95,4,0.6
التين,95,5,0.4
التين,95,6,1
التين,95,7,0.4
التين,95,8,0.6
الشرح,94,1,2.5
الشرح,94,2,0.5
الشرح,94,3,0.4
الشرح,94,4,0.3
الشرح,94,5,0.3
الشرح,94,6,0.4
الشرح,94,7,0.3
الشرح,94,8,0.3
الضحى,93,1,2.2
الضحى,93,2,0.3
الضحى,93,3,0.5
الضحى,93,4,0.5
الضحى,93,5,0.6
الضحى,93,6,0.5
الضحى,93,7,0.5
الضحى,93,8,0.5
الضحى,93,9,0.4
الضحى,93,10,0.5
الضحى,93,11,0.5
الليل,92,1,2.3
الليل,92,2,0.3
الليل,92,3,0.4
الليل,92,4,0.3
الليل,92,5,0.3
الليل,92,6,0.3
الليل,92,7,0.4
الليل,92,8,0.4
الليل,92,9,0.2
الليل,92,10,0.4
الليل,92,11,0.4
الليل,92,12,0.3
الليل,92,13,0.5
الليل,92,14,0.4
الليل,92,15,0.4
الليل,92,16,0.4
الليل,92,17,0.4
الليل,92,18,0.4
الليل,92,19,0.7
الليل,92,20,0.4
الليل,92,21,0.3
الشمس,91,1,2.4
الشمس,91,2,0.3
الشمس,91,3,0.3
الشمس,91,4,0.4
الشمس,91,5,0.3
الشمس,91,6,0.3
الشمس,91,7,0.4
الشمس,91,8,0.5
الشمس,91,9,0.4
الشمس,91,10,0.4
الشمس,91,11,0.5
الشمس,91,12,0.4
الشمس,91,13,0.8
الشمس,91,14,1.2
الشمس,91,15,0.4
البلد,90,1,2.4
البلد,90,2,0.4
البلد,90,3,0.2
البلد,90,4,0.5
البلد,90,5,0.6
البلد,90,6,0.5
البلد,90,7,0.4
البلد,90,8,0.4
البلد,90,9,0.4
البلد,90,10,0.4
البلد,90,11,0.4
البلد,90,12,0.4
البلد,90,13,0.3
البلد,90,14,0.5
البلد,90,15,0.3
البلد,90,16,0.4
البلد,90,17,1
البلد,90,18,0.5
البلد,90,19,0.8
البلد,90,20,0.3
الفجر,89,1,2.2
الفجر,89,2,0.2
الفجر,89,3,0.3
الفجر,89,4,0.3
الفجر,89,5,0.5
الفجر,89,6,0.5
الفجر,89,7,0.4
الفجر,89,8,0.5
الفجر,89,9,0.5
الفجر,89,10,0.4
الفجر,89,11,0.4
الفجر,89,12,0.5
الفجر,89,13,0.5
الفجر,89,14,0.4
الفجر,89,15,1.1
الفجر,89,16,0.8
الفجر,89,17,0.4
الفجر,89,18,0.7
الفجر,89,19,0.9
الفجر,89,20,0.5
الفجر,89,21,0.6
الفجر,89,22,0.6
الفجر,89,23,1.3
الفجر,89,24,0.6
الفجر,89,25,0.6
الفجر,89,26,0.5
الفجر,89,27,0.5
الفجر,89,28,0.5
الفجر,89,29,0.5
الفجر,89,30,0.5
الغاشية,88,1,2.5
الغاشية,88,2,0.5
الغاشية,88,3,0.3
الغاشية,88,4,0.3
الغاشية,88,5,0.4
الغاشية,88,6,0.5
الغاشية,88,7,0.5
الغاشية,88,8,0.4
الغاشية,88,9,0.3
الغاشية,88,10,0.3
الغاشية,88,11,0.4
الغاشية,88,12,0.3
الغاشية,88,13,0.3
الغاشية,88,14,0.3
الغاشية,88,15,0.4
الغاشية,88,16,0.3
الغاشية,88,17,0.6
الغاشية,88,18,0.4
الغاشية,88,19,0.5
الغاشية,88,20,0.6
الغاشية,88,21,0.5
الغاشية,88,22,0.5
الغاشية,88,23,0.4
الغاشية,88,24,0.5
الغاشية,88,25,0.4
الغاشية,88,26,0.5
الأعلى,87,1,2.4
الأعلى,87,2,0.3
الأعلى,87,3,0.3
الأعلى,87,4,0.4
الأعلى,87,5,0.4
الأعلى,87,6,0.3
الأعلى,87,7,0.8
الأعلى,87,8,0.2
الأعلى,87,9,0.5
الأعلى,87,10,0.4
الأعلى,87,11,0.4
الأعلى,87,12,0.5
الأعلى,87,13,0.3
الأعلى,87,14,0.3
الأعلى,87,15,0.5
الأعلى,87,16,0.5
الأعلى,87,17,0.4
الأعلى,87,18,0.5
الأعلى,87,19,0.5
الطارق,86,1,2.3
الطارق,86,2,0.3
الطارق,86,3,0.3
الطارق,86,4,0.5
الطارق,86,5,0.4
الطارق,86,6,0.4
الطارق,86,7,0.5
الطارق,86,8,0.3
الطارق,86,9,0.3
الطارق,86,10,0.4
الطارق,86,11,0.3
الطارق,86,12,0.4
الطارق,86,13,0.3
الطارق,86,14,0.2
الطارق,86,15,0.3
الطارق,86,16,0.3
الطارق,86,17,1.5
البروج,85,1,2.4
البروج,85,2,0.3
البروج,85,3,0.4
البروج,85,4,0.5
البروج,85,5,0.3
البروج,85,6,0.3
البروج,85,7,0.7
البروج,85,8,0.9
البروج,85,9,1.1
البروج,85,10,1.4
البروج,85,11,1.5
البروج,85,12,0.4
البروج,85,13,0.4
البروج,85,14,0.4
البروج,85,15,0.3
البروج,85,16,0.3
البروج,85,17,0.4
البروج,85,18,0.3
البروج,85,19,0.6
البروج,85,20,0.4
البروج,85,21,0.4
البروج,85,22,0.3
الانشقاق,84,1,2.3
الانشقاق,84,2,0.3
الانشقاق,84,3,0.4
الانشقاق,84,4,0.5
الانشقاق,84,5,0.4
الانشقاق,84,6,0.8
الانشقاق,84,7,0.6
الانشقاق,84,8,0.6
الانشقاق,84,9,0.4
الانشقاق,84,10,0.6
الانشقاق,84,11,0.3
الانشقاق,84,12,0.3
الانشقاق,84,13,0.5
الانشقاق,84,14,0.4
الانشقاق,84,15,0.4
الانشقاق,84,16,0.3
الانشقاق,84,17,0.4
الانشقاق,84,18,0.5
الانشقاق,84,19,0.4
الانشقاق,84,20,0.4
الانشقاق,84,21,0.7
الانشقاق,84,22,0.5
الانشقاق,84,23,0.5
الانشقاق,84,24,0.5
الانشقاق,84,25,1
المطففين,83,1,2.3
المطففين,83,2,0.7
المطففين,83,3,0.5
المطففين,83,4,0.5
المطففين,83,5,0.2
المطففين,83,6,0.7
المطففين,83,7,0.6
المطففين,83,8,0.3
المطففين,83,9,0.2
المطففين,83,10,0.5
المطففين,83,11,0.4
المطففين,83,12,0.5
المطففين,83,13,0.6
المطففين,83,14,0.8
المطففين,83,15,0.6
المطففين,83,16,0.4
المطففين,83,17,0.6
المطففين,83,18,0.5
المطففين,83,19,0.5
المطففين,83,20,0.2
المطففين,83,21,0.3
المطففين,83,22,0.4
المطففين,83,23,0.4
المطففين,83,24,0.6
المطففين,83,25,0.6
المطففين,83,26,0.9
المطففين,83,27,0.3
المطففين,83,28,0.6
المطففين,83,29,0.9
المطففين,83,30,0.5
المطففين,83,31,0.8
المطففين,83,32,0.7
المطففين,83,33,0.4
المطففين,83,34,0.9
المطففين,83,35,0.4
المطففين,83,36,0.7
الانفطار,82,1,2.4
الانفطار,82,2,0.4
الانفطار,82,3,0.3
الانفطار,82,4,0.4
الانفطار,82,5,0.6
الانفطار,82,6,0.8
الانفطار,82,7,0.5
